title,artist,bpm,key
Stayin' Alive - MOONLGHT Remix,Bee Gees,126,4A
Turn Off The Lights,Chris Lake ft. Alexis Roberts,125,9A
Sippin' Yak,Cloonee,127,1A
Escape - John Summit Remix,deadmau5 & Kaskade ft. Kx5 & Hayla,126,7A
Miracle Maker,Dom Dolla & Clementine Douglas,128,3A
Pump It Up,Endor,129,10A
Just Feels Tight,FISHER,127,1A
Losing It,FISHER,125,6A
You Little Beauty,FISHER,124,3A
Take It Off,FISHER & Aatig,127,2A
New Gold - Dom Dolla Remix,Gorillaz ft. Tame Impala and Bootie Brown,127,9A
Somebody (2024),Gotye & Kimbra & FISHER & Chris Lake,130,7A
Sun Came Up - Claptone Remix,Sofi Tukker & John Summit,124,8A
Tokyo Drift - DENDY Remix,Teriyaki Boyz,128,2A
Where You Are,John Summit & Hayla,126,8A
Rhyme Dust (Extended),MK & Dom Dolla,128,5A
In The Yuma,Chris Lake ft. Aatig,126,11A
More Baby,Chris Lake & Aluna,126,11A
Toxic,Chris Lake & Ragie Ban,129,2A
No Broke Boys,Disco Lines & Tinashe,131,1A
Cake By The Ocean - Denero Remix,DNCE,130,8A
Make Believe,Luke Dean & Omar+,133,2A
If U Need It,Sammy Virji,132,2A
Drugs from Amsterdam,Mau P,125,2A
